*Algorithm,MirexRoot,MirexMajMin,MirexMajMinBass,MirexSevenths,MirexSeventhsBass,MeanSeg,UnderSeg,OverSeg
CLSYJ1,65.44,62.49,55.27,46.83,40.60,78.95,80.78,77.55
CM1,72.82,72.15,65.55,54.46,49.05,86.58,86.94,86.84
