*Algorithm,MirexRoot,MirexMajMin,MirexMajMinBass,MirexSevenths,MirexSeventhsBass,MeanSeg,UnderSeg,OverSeg
CLSYJ1,71.17,65.38,63.93,54.83,53.41,76.74,75.15,82.82
CM1,72.26,68.17,66.44,44.62,43.29,80.23,79.71,84.64
