*Algorithm,MirexRoot,MirexMajMin,MirexMajMinBass,MirexSevenths,MirexSeventhsBass,MeanSeg,UnderSeg,OverSeg
CLSYJ1,76.23,72.30,68.75,62.27,58.92,82.13,82.12,83.24
CM1,78.41,76.24,72.74,59.84,56.67,85.81,86.81,86.02
