*Algorithm,MirexRoot,MirexMajMin,MirexMajMinBass,MirexSevenths,MirexSeventhsBass,MeanSeg,UnderSeg,OverSeg
CM1,61.55,57.37,48.05,38.28,32.15,79.53,82.70,78.29
FK2,65.51,62.71,53.85,52.24,43.78,81.87,82.08,84.05
JLCX1,66.60,64.70,55.01,52.20,43.85,82.79,82.93,84.58
JLCX2,67.10,65.18,55.41,52.60,44.16,83.18,83.14,85.33
SG1,63.16,57.90,49.28,47.17,39.92,75.92,86.60,69.56
