*Algorithm,MirexRoot,MirexMajMin,MirexMajMinBass,MirexSevenths,MirexSeventhsBass,MeanSeg,UnderSeg,OverSeg
CM1,72.26,68.17,66.44,44.62,43.29,80.23,79.71,84.64
FK2,78.93,75.95,74.25,65.50,63.83,82.42,79.59,90.54
JLCX1,80.76,78.78,77.19,64.95,63.41,84.34,81.23,92.09
JLCX2,81.15,79.19,77.61,65.40,63.86,84.81,81.50,92.98
SG1,76.52,69.98,68.80,56.79,55.56,78.17,84.09,76.22
