*Algorithm,MirexRoot,MirexMajMin,MirexMajMinBass,MirexSevenths,MirexSeventhsBass,MeanSeg,UnderSeg,OverSeg
CM2,72.82,72.15,65.55,54.46,49.05,86.58,86.94,86.84
JLW1,76.26,75.85,72.47,58.10,55.42,89.71,88.79,90.95
JLW2,76.06,75.70,72.36,57.67,55.08,89.72,88.23,91.56
KBK1,78.11,77.41,66.03,50.86,41.66,86.93,83.46,91.47
KBK2,81.42,80.48,69.66,51.77,43.18,89.08,87.67,90.87
WL1,83.04,82.34,78.57,62.02,58.60,89.01,86.38,91.93
