*Algorithm,MirexRoot,MirexMajMin,MirexMajMinBass,MirexSevenths,MirexSeventhsBass,MeanSeg,UnderSeg,OverSeg
CLSYJ1,69.95,65.12,63.49,57.03,55.56,79.68,80.43,81.67
CM1,72.55,69.00,66.59,49.76,47.92,83.99,85.95,83.96
