*Algorithm,MirexRoot,MirexMajMin,MirexMajMinBass,MirexSevenths,MirexSeventhsBass,MeanSeg,UnderSeg,OverSeg
CM1,79.12,77.95,74.30,63.33,59.89,88.62,88.11,89.67
FK2,87.20,86.58,80.92,58.04,52.78,89.94,87.94,92.37
JLCX1,87.11,86.71,84.93,73.78,72.17,91.15,88.77,93.99
JLCX2,86.90,86.53,84.76,73.51,71.88,91.07,88.48,94.16
SG1,82.22,78.06,76.06,63.65,61.86,82.62,90.66,76.44
