*Algorithm,MirexRoot,MirexMajMin,MirexMajMinBass,MirexSevenths,MirexSeventhsBass,MeanSeg,UnderSeg,OverSeg
CM1,73.08,69.29,66.28,50.88,48.46,81.49,79.69,86.08
FK2,78.08,76.02,72.49,51.87,48.47,83.01,78.76,91.34
JLCX1,79.40,77.90,75.77,63.33,61.35,84.01,79.75,92.14
JLCX2,79.89,78.38,76.24,63.72,61.71,84.47,80.01,93.01
SG1,73.90,68.64,66.06,54.40,52.01,78.04,83.36,76.39
