*Algorithm,MirexRoot,MirexMajMin,MirexMajMinBass,MirexSevenths,MirexSeventhsBass,MeanSeg,UnderSeg,OverSeg
CLSYJ1,79.89,75.45,73.73,68.57,66.91,83.60,83.72,84.32
CM1,81.94,78.29,76.09,57.97,55.94,87.95,89.00,87.39
