*Algorithm,MirexRoot,MirexMajMin,MirexMajMinBass,MirexSevenths,MirexSeventhsBass,MeanSeg,UnderSeg,OverSeg
CM2,81.94,78.29,76.09,57.97,55.94,87.95,89.00,87.39
JLW1,83.72,80.48,78.81,70.08,68.40,88.80,87.26,91.12
JLW2,84.00,80.68,79.04,70.07,68.41,89.01,86.97,91.91
KBK1,84.36,81.98,79.38,77.98,75.66,88.33,85.61,92.14
KBK2,89.38,88.12,85.06,83.38,80.68,90.96,89.52,92.84
WL1,83.34,80.65,77.55,71.23,68.38,86.38,82.19,92.14
