*Algorithm,MirexRoot,MirexMajMin,MirexMajMinBass,MirexSevenths,MirexSeventhsBass,MeanSeg,UnderSeg,OverSeg
CM1,72.55,69.00,66.59,49.76,47.92,83.99,85.95,83.96
FK2,77.25,75.76,73.87,53.78,52.02,87.08,86.17,90.49
JLCX1,79.90,78.78,77.27,65.76,64.31,88.18,87.16,91.40
JLCX2,80.39,79.29,77.79,66.17,64.71,88.75,87.53,92.27
SG1,74.57,70.17,68.26,56.98,55.11,79.59,88.81,74.45
