*Algorithm,MirexRoot,MirexMajMin,MirexMajMinBass,MirexSevenths,MirexSeventhsBass,MeanSeg,UnderSeg,OverSeg
CLSYJ1,73.69,69.47,67.66,57.41,55.78,78.80,78.67,82.52
CM1,71.23,67.36,65.28,49.07,47.25,81.50,83.13,82.53
