*Algorithm,MirexRoot,MirexMajMin,MirexMajMinBass,MirexSevenths,MirexSeventhsBass,MeanSeg,UnderSeg,OverSeg
CM1,72.82,72.15,65.55,54.46,49.05,86.58,86.94,86.84
FK2,81.42,80.48,69.66,51.77,43.18,89.08,87.67,90.87
JLCX1,84.41,84.12,81.42,63.14,61.08,92.59,91.82,93.46
JLCX2,84.77,84.49,81.75,63.38,61.31,93.16,92.26,94.16
SG1,80.59,75.65,72.28,56.43,53.80,82.51,91.49,75.30
