*Algorithm,MirexRoot,MirexMajMin,MirexMajMinBass,MirexSevenths,MirexSeventhsBass,MeanSeg,UnderSeg,OverSeg
CM2,74.23,72.31,70.25,55.44,53.48,83.60,85.33,83.31
JLW1,78.00,76.42,75.08,62.06,60.93,84.23,82.33,87.86
JLW2,78.66,77.14,75.79,62.49,61.32,84.52,81.88,89.22
KBK1,79.81,79.19,76.71,56.90,54.84,85.78,82.61,90.72
KBK2,86.30,86.02,83.12,61.12,58.75,88.38,86.78,90.97
WL1,79.49,78.54,74.67,62.54,59.57,83.61,79.64,89.80
