*Algorithm,MirexRoot,MirexMajMin,MirexMajMinBass,MirexSevenths,MirexSeventhsBass,MeanSeg,UnderSeg,OverSeg
CLSYJ1,62.26,57.15,48.90,48.74,41.38,77.19,79.02,77.69
CM1,61.55,57.37,48.05,38.28,32.15,79.53,82.70,78.29
