*Algorithm,MirexRoot,MirexMajMin,MirexMajMinBass,MirexSevenths,MirexSeventhsBass,MeanSeg,UnderSeg,OverSeg
CLSYJ1,79.89,76.50,74.33,67.79,65.82,82.61,81.56,85.11
CM1,78.66,75.51,72.58,54.78,52.36,85.87,87.22,85.98
